id,type,unit,name,desc
E31,Fixed Addr,multiplier,IAM (4-byte)*,E31-KCA = (KA (max) map value * IAM) + FBKC + FLKC. Total Timing = KCA + base timing + timing compensations
E32,Fixed Addr,g/rev,Engine Load (4-Byte)*,E32-This is the current engine load (g/rev) as determined by the ECU.
E33,Fixed Addr,status,CL/OL Fueling*,E33-Fuel system status. [8 = CL (normal)][10 = OL (normal)][7 = OL insufficient ECT][14 = OL due to system failure]
E34,Fixed Addr,absolute %,Turbo Dynamics Integral (4-byte)*,E34-Current WG duty corr (ABS) applied by the Turbo Dynamics Integral tables to achieve target boost. Can be Cumulative
E35,Fixed Addr,kPa,Boost Error*,E35-Difference between target boost (post-compensations) and actual boost (target boost - actual boost)
E36,Fixed Addr,kPa absolute,Target Boost (4-byte)*,"E36-Current boost target as determined by the Target Boost table(s). This includes any compensation, if applicable."
E37,Fixed Addr,absolute %,Turbo Dynamics Proportional (4-byte)*,E37-Current WG duty correction (absolute) that is being applied by the Turbo Dynamics Proportional table.
E38,Fixed Addr,%,Throttle Plate Opening Angle (4-byte)*,E38-Actual throttle plate opening percentage. More accurate than the standard Throttle Opening Angle % SSM parameter.
E39,Fixed Addr,degrees,Feedback Knock Correction (4-byte)*,E39-This is the temporary negative correction to timing advance in response to what the ECU perceives as knock.
E40,Fixed Addr,degrees,Knock Correction Advance (IAM only)*,E40-Knock Correction Advance (IAM only)
E41,Fixed Addr,degrees,Fine Learning Knock Correction (4-byte)*,E41-Current learned correction that is being applied which is stored and applied across specific load and rpm ranges.
E42,Fixed Addr,multiplier,Map Ratio (Primary)*,E42-The ratio used to determine the portion of specific multiple maps which are combined to determine the target value.
E44,Fixed Addr,%,A/F Learning #1 A (Stored)*,E44-A/F learned correction to CL and OL fueling across specific air flow ranges based on short-term A/F Correction witin range.
E45,Fixed Addr,%,A/F Learning #1 B (Stored)*,E45-A/F learned correction to CL and OL fueling across specific air flow ranges based on short-term A/F Correction witin range.
E46,Fixed Addr,%,A/F Learning #1 C (Stored)*,E46-A/F learned correction to CL and OL fueling across specific air flow ranges based on short-term A/F Correction witin range.
E47,Fixed Addr,%,A/F Learning #1 D (Stored)*,E47-A/F learned correction to CL and OL fueling across specific air flow ranges based on short-term A/F Correction witin range.
E48,Fixed Addr,%,A/F Learning #1 (4-byte)*,E48-Current A/F Learning being applied. Higher resolution then the standard SSM A/F Learning #1 parameter.
E49,Fixed Addr,raw ecu value,Idle Speed Map Selection*,"E49-Current Idle Speed Target MAP being used. 3 table ROM->[1=A],[2=B],[4=C]. 4 table ROM->[1=A],[2=B],[3=C],[4=D]"
E50,Fixed Addr,ms,Fuel Injector #1 Latency (4-byte)*,E50-Current injector latency as determined by the Injector Latency table.
E51,Fixed Addr,kPa absolute,Manifold Absolute Pressure (4-byte)*,E51-MAP is limited to about 37 psi absolute (about 22 psig at sea level). This parameter has no effective limit.
E52,Fixed Addr,psi relative sea level,Manifold Relative Sea Level Pressure (4-byte)*,E52-Same as Manifold Absolute Pressure (Direct) except represented as relative pressure with the assumption of sea level.
E53,Fixed Addr,degrees,Ignition Base Timing*,E53-Current base ignition timing as determined by the Base Timing tables.
E54,Fixed Addr,%,Tip-in Throttle*,E54-This is the current throttle angle change % used as an input by the Throttle Tip-in Enrichment table.
E55,Fixed Addr,raw ecu value,Tip-in Enrichment (Last Calculated)*,"E55-Current (or last) calculated tip-in enrichment value. The value is  not cleared, effectively shows the last calculated value."
E56,Fixed Addr,raw ecu value,Requested Torque*,E56-Current requested torque which is used as an input to the Target Throttle Plate Position (Requested Torque) table.
E57,Fixed Addr,%,Target Throttle Plate Position*,E57-Current target throttle plate position as determined by the Target Throttle Plate Position (Requested Torque) table.
E58,Fixed Addr,index position,Fine Learning Table Offset*,"E58-Current index position for the Fine Learning Knock Correction table being applied (and potentially adjusted), stored in ram."
E59,Fixed Addr,position,Gear (Calculated)*,E59-Current manual transmission gear selection as estimated by the ECU based on vehicle speed and RPM.
E60,Fixed Addr,ms,Fuel Injector #1 Pulse Width (4-byte)*,E60-Fuel Injector #1 PW with higher resolution. Note: This parameter does not include latency unlike the standard parameter.
E61,Fixed Addr,offset,A/F Learning Airflow Range (Current)*,E61-Current stored A/F Learning index position. A value of 1-4 corresponds to airflow ranges A-D respectively.
E70,Fixed Addr,%,Primary Wastegate Duty Maximum* (4-byte)*,E70-Current max WG duty as determined by the Max Wastegate Duty table(s) with all WG compensations applied.
E77,Fixed Addr,%,Primary Wastegate Duty Maximum* (4-byte)*,E77-Current max WG duty as determined by the Max Wastegate Duty table(s) with all WG compensations applied.
E81,Fixed Addr,%,A/F Correction #1 (4-byte)*,E81-A higher precision alternative to the standard SSM A/F Correction #1 parameter.
E84,Fixed Addr,estimated AFR,Primary Open Loop Map Enrichment (4-byte)*,E84-Primary enrichment value based on the Primary Open Loop Fueling table(s) Note: this value is NOT the final fueling target.
E91,Fixed Addr,estimated AFR,A/F Sensor #1 (4-byte)*,E91-A higher precision alternative to the standard SSM A/F Sensor #1 (AFR/lambda) parameter.
E113,Fixed Addr,kPa relative,Manifold Relative Pressure (4-byte)*,E113-Actual relative boost pressure and therefore will match a boost gauge regardless of local atmospheric pressure. No limit.
E115,Fixed Addr,estimated AFR,Primary Enrichment Final (4-byte)*,E115-This is the Primary Open Loop Map Enrichment value with the minimum warm-up enrichment factors applied. Not Final.
E116,Fixed Addr,multiplier,Knock Correction Advance Primary Map Ratio*,E116-Knock Correction Advance Primary Map Ratio
